Rank,POS trigrams preferred by Renaissance,Example
1,RG-SP-PP (adverb - preposition - personal pronoun),antes_RG con_SP él_PP3MS00 me abrazo y me consuelo
2,SP-PP-PP (preposition - personal pronoun - personal pronoun),por_SP vos_PP2CS0P me_PP1CS00 llevará mi osado paso
3,VM-RG-RG (main verb - adverb - adverb),y no pasan_VMIP3P0 tan_RG adentro_RG
4,VM-CC-RG (main verb - coordinating conjuction - adverb),o muy aventurado_VMP00SM o_CC muy_RG medroso
5,VM-SP-RG (main verb - preposition - adverb),¡Oh cuánto bien se acaba_VMIP3S0 en_SP solo_RG un día!
6,DP-NC-PR (possesive determiner - common noun - relative pronoun),que dirá mas de Amor y sus_DP3CPN haberes_NCMP000  quien_PR0CS00 diga lisonjero
7,SP-VM-DI (preposition - main verb - indefinite determiner),a que desee tornar a_SP ver_VMN0000 un_DI0MS0 día
8,CS-SP-PP (subordinating conjuction - preposition - personal pronoun),cortaron mis tiernos pensamientos luego que_CS sobre_SP mí_PP1CSO0 fueron mostrados
9,NC-PR-RG (common noun - relative pronoun - adverb),en quien derrama el cielo_NCMS000 cuanto_PR0MS00 bien_RG conoce el mundo
10,RG-VM-PR (adverb - main verb - relative pronoun), Mal_RG volverá_VMIF3S0 quien_PR0CS00 tanto mal ha hecho
11,CC-VM-RG (coordinating conjuction - main verb - adverb),y_CC hizo_VMIS3S0 igual_RG a el pensamiento el arte
12,DI-NC-PR (indefinite determiner - common noun - relative pronoun),alumbra en un_DI0MS0 instante_NCMS000 cuanto_PR0MS00 veo
13,VM-PR-RG (main verb - relative pronoun - adverb),el mal se encoge_VMIP3S0 donde_PR00000 más_RG le siento
14,RG-SP-DP (adverb - preposition - possesive determiner),allá_RG en_SP su_DP3CSN centro
15,SP-PP-SP (preposition - personal pronoun preposition),todo se halla en_SP vos_PP2CS0P de_SP parte a parte
